Source,Target,Type,Id,Label,timeset,Weight,relationship
drustvohudajama,revijareporter,Directed,495,,,3,Mentions
drustvohudajama,ales_primc,Directed,496,,,1,Mentions
drustvohudajama,nova24tv,Directed,497,,,2,Mentions
drustvohudajama,demokracija1,Directed,498,,,1,Mentions
drustvohudajama,igorkrsinar,Directed,499,,,1,Mentions
drustvohudajama,romanleljak,Directed,500,,,1,Mentions
drustvohudajama,nada568352656,Directed,501,,,1,Mentions
ziberdaj,murimursic,Directed,502,,,1,Mentions
hannatipica,rtv_slovenija,Directed,503,,,1,Mentions
hannatipica,jjansasds,Directed,504,,,1,Mentions
hannatipica,demokracija1,Directed,505,,,1,Mentions
vladars,tadejslapnik,Directed,506,,,1,Mentions
tadejslapnik,vladars,Directed,507,,,1,Mentions
tadejslapnik,mirocerar,Directed,508,,,3,Mentions
tadejslapnik,podimconference,Directed,509,,,3,Mentions
tadejslapnik,startupslovenia,Directed,510,,,1,Mentions
janimodern,tadejslapnik,Directed,511,,,1,Mentions
strankasmc,podimconference,Directed,512,,,1,Mentions
strankasmc,vladars,Directed,513,,,1,Mentions
tratnikm,strankasmc,Directed,514,,,1,Mentions
tratnikm,podimconference,Directed,515,,,1,Mentions
tratnikm,vladars,Directed,516,,,1,Mentions
simon_medved,jjansasds,Directed,517,,,1,Mentions
metkasmole,samvprasam,Directed,518,,,1,Mentions
metkasmole,jozebizjak,Directed,519,,,1,Mentions
metkasmole,jjansasds,Directed,520,,,2,Mentions
metkasmole,strankasds,Directed,521,,,1,Mentions
metkasmole,delo,Directed,522,,,2,Mentions
metkasmole,fzagorc,Directed,523,,,1,Mentions
metkasmole,strankasd,Directed,524,,,1,Mentions
metkasmole,aleshojs,Directed,525,,,2,Mentions
metkasmole,bojanpozar,Directed,526,,,1,Mentions
metkasmole,sarecmarjan,Directed,527,,,1,Mentions
metkasmole,nova24tv,Directed,528,,,8,Mentions
metkasmole,stolnica,Directed,529,,,2,Mentions
metkasmole,igorkrsinar,Directed,530,,,1,Mentions
metkasmole,romanleljak,Directed,531,,,1,Mentions
metkasmole,revijareporter,Directed,532,,,2,Mentions
metkasmole,demokracija1,Directed,533,,,1,Mentions
metkasmole,stanejagergmaio,Directed,534,,,1,Mentions
metkasmole,rtv_slovenija,Directed,535,,,1,Mentions
metkasmole,rtvslo,Directed,536,,,1,Mentions
metkasmole,ipirkovic,Directed,537,,,1,Mentions
metkasmole,nada568352656,Directed,538,,,1,Mentions
robert50150963,jjansasds,Directed,539,,,1,Mentions
robert50150963,revijareporter,Directed,540,,,1,Mentions
marijasoba,demokracija1,Directed,541,,,4,Mentions
marijasoba,jjansasds,Directed,542,,,3,Mentions
marijasoba,matjadraksler,Directed,543,,,1,Mentions
marijasoba,c_mirkic,Directed,544,,,1,Mentions
marijasoba,strankasd,Directed,545,,,1,Mentions
marijasoba,urosjausevec,Directed,546,,,1,Mentions
marijasoba,sodnik,Directed,547,,,1,Mentions
marijasoba,pulsar541,Directed,548,,,1,Mentions
marijasoba,fitzroy1985,Directed,549,,,1,Mentions
marijasoba,mareandi,Directed,550,,,1,Mentions
marijasoba,kovacrebeka,Directed,551,,,1,Mentions
marijasoba,dkopse,Directed,552,,,2,Mentions
marijasoba,mojcav1,Directed,553,,,1,Mentions
marijasoba,agortaa,Directed,554,,,1,Mentions
marijasoba,nova24tv,Directed,555,,,5,Mentions
marijasoba,revijareporter,Directed,556,,,2,Mentions
marijasoba,jozebiscak,Directed,557,,,2,Mentions
marijasoba,igorkrsinar,Directed,558,,,1,Mentions
marijasoba,romanleljak,Directed,559,,,1,Mentions
marijasoba,rtv_slovenija,Directed,560,,,1,Mentions
marijasoba,ipirkovic,Directed,561,,,1,Mentions
marijasoba,24ur_com,Directed,562,,,1,Mentions
slotooecd,mzzrs,Directed,563,,,1,Mentions
markodvornik,mo_novomesto,Directed,564,,,1,Mentions
markodvornik,rozancgasper,Directed,565,,,1,Mentions
furmantanja,ales_primc,Directed,566,,,1,Mentions
furmantanja,matevztomsic,Directed,567,,,1,Mentions
furmantanja,revijareporter,Directed,568,,,1,Mentions
darinkavrabi,nova24tv,Directed,569,,,2,Mentions
branko53948418,s,Directed,570,,,1,Mentions
branko53948418,jjansasds,Directed,571,,,2,Mentions
branko53948418,strankasds,Directed,572,,,2,Mentions
branko53948418,rtv_slovenija,Directed,573,,,1,Mentions
altpaulin,jirikocica,Directed,574,,,1,Mentions
jirikocica,revijareporter,Directed,575,,,1,Mentions
jirikocica,markosket,Directed,576,,,1,Mentions
tratar_saso,zorandela,Directed,577,,,1,Mentions
tratar_saso,abratusek,Directed,578,,,1,Mentions
tratar_saso,strankalevica,Directed,579,,,1,Mentions
tratar_saso,sarecmarjan,Directed,580,,,1,Mentions
tratar_saso,strankasds,Directed,581,,,1,Mentions
tatjanak1,demokracija1,Directed,582,,,1,Mentions
tatjanak1,matevztomsic,Directed,583,,,1,Mentions
tatjanak1,nova24tv,Directed,584,,,1,Mentions
tatjanak1,solidarnost_si,Directed,585,,,1,Mentions
tatjanak1,strankalevica,Directed,586,,,1,Mentions
tatjanak1,vinkovasle1,Directed,587,,,1,Mentions
tatjanak1,jozebiscak,Directed,588,,,1,Mentions
spremenimosvet,nova24tv,Directed,589,,,2,Mentions
spremenimosvet,nada568352656,Directed,590,,,1,Mentions
markopavlisic,rokzorko,Directed,591,,,1,Mentions
markopavlisic,lukavalas,Directed,592,,,1,Mentions
markopavlisic,mladiforum,Directed,593,,,1,Mentions
francip59,nada568352656,Directed,594,,,1,Mentions
dialogos_si,sarecmarjan,Directed,595,,,1,Mentions
tzdenko,sarecmarjan,Directed,596,,,1,Mentions
tzdenko,bojanpozar,Directed,597,,,1,Mentions
tzdenko,aleshojs,Directed,598,,,2,Mentions
tzdenko,strankasd,Directed,599,,,1,Mentions
tzdenko,slovenskavojska,Directed,600,,,1,Mentions
tzdenko,jjansasds,Directed,601,,,3,Mentions
tzdenko,vo,Directed,602,,,1,Mentions
tzdenko,rmandreja,Directed,603,,,1,Mentions
tzdenko,bojanzadel,Directed,604,,,1,Mentions
tzdenko,katoliskacerkev,Directed,605,,,1,Mentions
tzdenko,stolnica,Directed,606,,,1,Mentions
tzdenko,sds,Directed,607,,,1,Mentions
tzdenko,andrazand,Directed,608,,,1,Mentions
tzdenko,rtv_slovenija,Directed,609,,,1,Mentions
tzdenko,krtmen,Directed,610,,,1,Mentions
bojansimm,rosvitap,Directed,611,,,1,Mentions
rtztim,rosvitap,Directed,612,,,1,Mentions
rtztim,nova24tv,Directed,613,,,1,Mentions
rtztim,strankasd,Directed,614,,,1,Mentions
rtztim,urosjausevec,Directed,615,,,1,Mentions
rtztim,sodnik,Directed,616,,,1,Mentions
rtztim,pulsar541,Directed,617,,,1,Mentions
rtztim,fitzroy1985,Directed,618,,,1,Mentions
rtztim,mareandi,Directed,619,,,1,Mentions
rtztim,svizec5,Directed,620,,,1,Mentions
rtztim,slovenskavojska,Directed,621,,,1,Mentions
rtztim,jjansasds,Directed,622,,,3,Mentions
rtztim,demokracija1,Directed,623,,,1,Mentions
rtztim,freewiseguy,Directed,624,,,1,Mentions
rtztim,rtv_slovenija,Directed,625,,,2,Mentions
rtztim,stanejagergmaio,Directed,626,,,1,Mentions
rtztim,mirocerar,Directed,627,,,1,Mentions
rtztim,bojanpozar,Directed,628,,,1,Mentions
rtztim,bojansimm,Directed,629,,,1,Mentions
igorzavrsnik,rtv_slovenija,Directed,630,,,1,Mentions
igorzavrsnik,jjansasds,Directed,631,,,2,Mentions
igorzavrsnik,jozebiscak,Directed,632,,,1,Mentions
igorzavrsnik,dkopse,Directed,633,,,1,Mentions
vinkovasle1,igorzavrsnik,Directed,634,,,1,Mentions
gloomygregster,francbrezniksds,Directed,635,,,1,Mentions
tatjanapirc,gorecnik,Directed,636,,,1,Mentions
maceklj,kovacrebeka,Directed,637,,,1,Mentions
maceklj,rtv_slovenija,Directed,638,,,1,Mentions
maceklj,jjansasds,Directed,639,,,1,Mentions
jan_skoberne,strankasd,Directed,640,,,1,Mentions
jan_skoberne,jernejstromajer,Directed,641,,,1,Mentions
smarcanzlatko,jozebiscak,Directed,642,,,1,Mentions
mediadompiran,matjazderin,Directed,643,,,1,Mentions
boenasvoabo,nova24tv,Directed,644,,,2,Mentions
trojanc,slo_kosarka,Directed,645,,,1,Mentions
mrcinkobolfov,rtv_slovenija,Directed,646,,,2,Mentions
mrcinkobolfov,jjansasds,Directed,647,,,2,Mentions
mrcinkobolfov,sinicica,Directed,648,,,1,Mentions
forenik,demokracija1,Directed,649,,,1,Mentions
forenik,max970,Directed,650,,,1,Mentions
forenik,nada568352656,Directed,651,,,1,Mentions
schelker_maja,rtv_slovenija,Directed,652,,,1,Mentions
schelker_maja,jjansasds,Directed,653,,,2,Mentions
schelker_maja,revijareporter,Directed,654,,,1,Mentions
schelker_maja,slovenskavojska,Directed,655,,,1,Mentions
nejcsloatheist,nova24tv,Directed,656,,,1,Mentions
exodus_tv,marijabrezje,Directed,657,,,1,Mentions
danijelalesjak,rtv_slovenija,Directed,658,,,2,Mentions
danijelalesjak,jjansasds,Directed,659,,,2,Mentions
danijelalesjak,mojcaskrinjar,Directed,660,,,1,Mentions
jelenajal,gorecnik,Directed,661,,,1,Mentions
jurebrankovic,mhacek,Directed,662,,,1,Mentions
jurebrankovic,policija_si,Directed,663,,,1,Mentions
hladnikp,freewiseguy,Directed,664,,,1,Mentions
hladnikp,nova24tv,Directed,665,,,3,Mentions
hladnikp,dkopse,Directed,666,,,1,Mentions
hladnikp,slovenskavojska,Directed,667,,,1,Mentions
hladnikp,jjansasds,Directed,668,,,3,Mentions
hladnikp,revijareporter,Directed,669,,,1,Mentions
hladnikp,matjadraksler,Directed,670,,,1,Mentions
hladnikp,strankasd,Directed,671,,,1,Mentions
hladnikp,aleshojs,Directed,672,,,1,Mentions
hladnikp,rtv_slovenija,Directed,673,,,1,Mentions
hladnikp,mojcaskrinjar,Directed,674,,,1,Mentions
sabrinastrnisa,zdruzenadesnica,Directed,675,,,1,Mentions
sabrinastrnisa,metkazevnik,Directed,676,,,1,Mentions
sabrinastrnisa,nova24tv,Directed,677,,,3,Mentions
sabrinastrnisa,vinkovasle1,Directed,678,,,1,Mentions
sabrinastrnisa,max970,Directed,679,,,2,Mentions
sabrinastrnisa,svizec5,Directed,680,,,1,Mentions
sabrinastrnisa,slovenskavojska,Directed,681,,,1,Mentions
sabrinastrnisa,jjansasds,Directed,682,,,1,Mentions
sabrinastrnisa,ales_primc,Directed,683,,,1,Mentions
martin98766959,c_mirkic,Directed,684,,,1,Mentions
martin98766959,freewiseguy,Directed,685,,,1,Mentions
martin98766959,bond00775328617,Directed,686,,,1,Mentions
martin98766959,nova24tv,Directed,687,,,2,Mentions
martin98766959,demokracija1,Directed,688,,,1,Mentions
martin98766959,rtv_slovenija,Directed,689,,,1,Mentions
martin98766959,jjansasds,Directed,690,,,1,Mentions
martin98766959,jozebiscak,Directed,691,,,1,Mentions
martin98766959,matevztomsic,Directed,692,,,1,Mentions
martin98766959,prav1111,Directed,693,,,1,Mentions
martin98766959,allbriefs,Directed,694,,,1,Mentions
martin98766959,nada568352656,Directed,695,,,1,Mentions
martin98766959,muhabc1,Directed,696,,,1,Mentions
martin98766959,max970,Directed,697,,,1,Mentions
tourism_slo,turizemlj,Directed,698,,,1,Mentions
turizemlj,tourism_slo,Directed,699,,,1,Mentions
metaprepadnik,jjansasds,Directed,700,,,2,Mentions
metaprepadnik,matjadraksler,Directed,701,,,1,Mentions
metaprepadnik,demokracija1,Directed,702,,,1,Mentions
metaprepadnik,jozebiscak,Directed,703,,,1,Mentions
metaprepadnik,rtv_slovenija,Directed,704,,,1,Mentions
metaprepadnik,igorkrsinar,Directed,705,,,1,Mentions
metaprepadnik,romanleljak,Directed,706,,,1,Mentions
metaprepadnik,revijareporter,Directed,707,,,1,Mentions
marko29539346,nada568352656,Directed,708,,,1,Mentions
gabersegs,rtv_slovenija,Directed,709,,,1,Mentions
gabersegs,jjansasds,Directed,710,,,1,Mentions
matino667,petrol,Directed,711,,,1,Mentions
matino667,telekomslo,Directed,712,,,1,Mentions
matino667,odbita,Directed,713,,,1,Mentions
matino667,praprotnix,Directed,714,,,1,Mentions
matino667,val202,Directed,715,,,1,Mentions
janimodern,vladars,Directed,716,,,2,Mentions
janimodern,mirocerar,Directed,717,,,3,Mentions
janimodern,podimconference,Directed,718,,,2,Mentions
janimodern,jasnamurgel,Directed,719,,,1,Mentions
stanka_d,janimodern,Directed,720,,,1,Mentions
stanka_d,mgruden,Directed,721,,,1,Mentions
tvitkoretvitko,rtv_slovenija,Directed,722,,,1,Mentions
tvitkoretvitko,jjansasds,Directed,723,,,1,Mentions
tvitkoretvitko,solidarnost_si,Directed,724,,,1,Mentions
tvitkoretvitko,strankalevica,Directed,725,,,1,Mentions
tvitkoretvitko,vinkovasle1,Directed,726,,,1,Mentions
tvitkoretvitko,penzionist12,Directed,727,,,1,Mentions
juventinoslo,jjansasds,Directed,728,,,1,Mentions
juventinoslo,max970,Directed,729,,,1,Mentions
u3krasne,nova24tv,Directed,730,,,2,Mentions
u3krasne,revijareporter,Directed,731,,,2,Mentions
u3krasne,jjansasds,Directed,732,,,2,Mentions
u3krasne,rtv_slovenija,Directed,733,,,1,Mentions
u3krasne,max970,Directed,734,,,1,Mentions
glaszaotroke,ales_primc,Directed,735,,,1,Mentions
zaresgregor,mgruden,Directed,736,,,1,Mentions
zvonecadez,rtv_slovenija,Directed,737,,,1,Mentions
zvonecadez,jjansasds,Directed,738,,,1,Mentions
lculiberg,mgruden,Directed,739,,,1,Mentions
borisbojler,max970,Directed,740,,,1,Mentions
franc_bogovic,lojzepeterle,Directed,741,,,2,Mentions
franc_bogovic,ep_slovenija,Directed,742,,,2,Mentions
franc_bogovic,stakrog,Directed,743,,,1,Mentions
stakrog,franc_bogovic,Directed,744,,,1,Mentions
stakrog,lojzepeterle,Directed,745,,,1,Mentions
stakrog,statslovenija,Directed,746,,,1,Mentions
stakrog,ecinslovenia,Directed,747,,,5,Mentions
stakrog,efljubljana,Directed,748,,,1,Mentions
stakrog,kc_ul,Directed,749,,,1,Mentions
stakrog,ep_slovenija,Directed,750,,,6,Mentions
jakaracman007,jjansasds,Directed,751,,,2,Mentions
jakaracman007,rtv_slovenija,Directed,752,,,1,Mentions
alocniskar,freewiseguy,Directed,753,,,1,Mentions
alocniskar,ales_primc,Directed,754,,,1,Mentions
alocniskar,rtv_slovenija,Directed,755,,,1,Mentions
alocniskar,jjansasds,Directed,756,,,1,Mentions
alocniskar,krtmen,Directed,757,,,1,Mentions
skupajnaprej,24ur,Directed,758,,,1,Mentions
bracicregouc,24ur,Directed,759,,,1,Mentions
skupajnaprej,danijelloredan,Directed,760,,,1,Mentions
bracicregouc,danijelloredan,Directed,761,,,1,Mentions
bracicregouc,skupajnaprej,Directed,762,,,1,Mentions
matevznovak,stankastanka,Directed,763,,,1,Mentions
jozesmrekar,ferch_pech,Directed,764,,,1,Mentions
jozesmrekar,altpaulin,Directed,765,,,1,Mentions
vso_slovenija,alekshribovsek,Directed,766,,,1,Mentions
igorgobec,nualannasimmed,Directed,767,,,1,Mentions
cycling24_7,prijavim_se,Directed,768,,,1,Mentions
cycling24_7,uci_gfws,Directed,769,,,1,Mentions
cycling24_7,cyclingweekly,Directed,770,,,1,Mentions
cycling24_7,uci_cycling,Directed,771,,,1,Mentions
cycling24_7,cyclingfans,Directed,772,,,1,Mentions
cycling24_7,myfranja,Directed,773,,,1,Mentions
_europeanvalues,tanjaporcnik,Directed,774,,,1,Mentions
helencam,mgruden,Directed,775,,,1,Mentions
motobrane,slovenskavojska,Directed,776,,,1,Mentions
motobrane,jjansasds,Directed,777,,,1,Mentions
motobrane,nada568352656,Directed,778,,,1,Mentions
motobrane,markosket,Directed,779,,,1,Mentions
motobrane,igorkrsinar,Directed,780,,,1,Mentions
motobrane,romanleljak,Directed,781,,,1,Mentions
motobrane,revijareporter,Directed,782,,,2,Mentions
berry20275000,strankaab,Directed,783,,,1,Mentions
berry20275000,delo,Directed,784,,,1,Mentions
berry20275000,24ur_com,Directed,785,,,1,Mentions
berry20275000,rtv_slovenija,Directed,786,,,1,Mentions
berry20275000,rtvslo,Directed,787,,,1,Mentions
lapsaso,berry20275000,Directed,788,,,1,Mentions
karantanec,berry20275000,Directed,789,,,1,Mentions
lapsaso,simonrozic,Directed,790,,,1,Mentions
karantanec,simonrozic,Directed,791,,,1,Mentions
lapsaso,rtv_slovenija,Directed,792,,,3,Mentions
lapsaso,freewiseguy,Directed,793,,,1,Mentions
lapsaso,petra_jansa,Directed,794,,,1,Mentions
lapsaso,lucijausaj,Directed,795,,,1,Mentions
karantanec,lapsaso,Directed,796,,,1,Mentions
karantanec,sodnik,Directed,797,,,1,Mentions
karantanec,pulsar541,Directed,798,,,1,Mentions
karantanec,fitzroy1985,Directed,799,,,1,Mentions
karantanec,fzagorc,Directed,800,,,1,Mentions
karantanec,mojcaskrinjar,Directed,801,,,1,Mentions
karantanec,rtv_slovenija,Directed,802,,,2,Mentions
karantanec,strankasd,Directed,803,,,1,Mentions
karantanec,urosjausevec,Directed,804,,,1,Mentions
karantanec,mareandi,Directed,805,,,1,Mentions
karantanec,nova24tv,Directed,806,,,2,Mentions
karantanec,vso_slovenija,Directed,807,,,1,Mentions
karantanec,tonekrkovic,Directed,808,,,1,Mentions
karantanec,boriscipot1,Directed,809,,,1,Mentions
karantanec,jjansasds,Directed,810,,,1,Mentions
karantanec,max970,Directed,811,,,1,Mentions
karantanec,ales_primc,Directed,812,,,1,Mentions
lukatreven,jjansasds,Directed,813,,,2,Mentions
lukatreven,slovenskavojska,Directed,814,,,1,Mentions
cikibucka,lukatreven,Directed,815,,,1,Mentions
bracicregouc,c_mirkic,Directed,816,,,1,Mentions
bracicregouc,fzagorc,Directed,817,,,1,Mentions
bracicregouc,jjansasds,Directed,818,,,1,Mentions
bracicregouc,ales_primc,Directed,819,,,1,Mentions
bracicregouc,revijareporter,Directed,820,,,1,Mentions
cikibucka,bracicregouc,Directed,821,,,1,Mentions
frenkmate,medeja_7,Directed,822,,,1,Mentions
frenkmate,vso_slovenija,Directed,823,,,1,Mentions
frenkmate,penzionist12,Directed,824,,,1,Mentions
frenkmate,trotz_dessen,Directed,825,,,1,Mentions
frenkmate,revijareporter,Directed,826,,,1,Mentions
bojanskec,frenkmate,Directed,827,,,1,Mentions
atbeatris,cesenj,Directed,828,,,1,Mentions
atbeatris,bojanskec,Directed,829,,,1,Mentions
atbeatris,petra_jansa,Directed,830,,,1,Mentions
bojanskec,atbeatris,Directed,831,,,1,Mentions
bojanskec,medeja_7,Directed,832,,,1,Mentions
bojanskec,nova24tv,Directed,833,,,7,Mentions
bojanskec,24ur_com,Directed,834,,,1,Mentions
bojanskec,cesenj,Directed,835,,,1,Mentions
bojanskec,petra_jansa,Directed,836,,,1,Mentions
bojanskec,rtvslo,Directed,837,,,1,Mentions
bojanskec,ales_primc,Directed,838,,,1,Mentions
bojanskec,demokracija1,Directed,839,,,2,Mentions
bojanskec,rtv_slovenija,Directed,840,,,1,Mentions
bojanskec,jjansasds,Directed,841,,,1,Mentions
bojanskec,igorkrsinar,Directed,842,,,1,Mentions
bojanskec,romanleljak,Directed,843,,,1,Mentions
bojanskec,revijareporter,Directed,844,,,3,Mentions
bojanskec,vo,Directed,845,,,1,Mentions
bojanskec,rmandreja,Directed,846,,,1,Mentions
bojanskec,jozebiscak,Directed,847,,,1,Mentions
bojanskec,metkazevnik,Directed,848,,,1,Mentions
bojanskec,strankasd,Directed,849,,,1,Mentions
bojanskec,jernejstromajer,Directed,850,,,1,Mentions
bojanskec,rokjarc,Directed,851,,,1,Mentions
antonstihec,mojcav1,Directed,852,,,1,Mentions
antonstihec,metkazevnik,Directed,853,,,1,Mentions
neurovirtu,ajpes,Directed,854,,,1,Mentions
bogdansajovic,demokracija1,Directed,855,,,2,Mentions
bogdansajovic,jozebiscak,Directed,856,,,2,Mentions
bogdansajovic,nova24tv,Directed,857,,,3,Mentions
bogdansajovic,jjansasds,Directed,858,,,2,Mentions
bogdansajovic,fzagorc,Directed,859,,,1,Mentions
bogdansajovic,dominikasvarc,Directed,860,,,1,Mentions
bogdansajovic,urosjausevec,Directed,861,,,1,Mentions
bogdansajovic,tomltoml,Directed,862,,,1,Mentions
bogdansajovic,altpaulin,Directed,863,,,1,Mentions
bogdansajovic,rtv_slovenija,Directed,864,,,1,Mentions
bogdansajovic,mojcaskrinjar,Directed,865,,,1,Mentions
bogdansajovic,potepuski,Directed,866,,,1,Mentions
bogdansajovic,tanjaporcnik,Directed,867,,,1,Mentions
zigav2000,fzagorc,Directed,868,,,1,Mentions
zigav2000,kovacrebeka,Directed,869,,,1,Mentions
janagrilc9,portalspolsi,Directed,870,,,1,Mentions
alex_zamuda,ssnptuj,Directed,871,,,1,Mentions
caretak79458195,tanjaporcnik,Directed,872,,,1,Mentions
bdarja,jjansasds,Directed,873,,,2,Mentions
bdarja,nova24tv,Directed,874,,,3,Mentions
bdarja,bojanzadel,Directed,875,,,1,Mentions
bdarja,rtv_slovenija,Directed,876,,,1,Mentions
msrebre,francidonko,Directed,877,,,1,Mentions
msrebre,jjansasds,Directed,878,,,2,Mentions
msrebre,rtv_slovenija,Directed,879,,,1,Mentions
msrebre,nova24tv,Directed,880,,,1,Mentions
msrebre,max970,Directed,881,,,1,Mentions
anjabahzibert,rtv_slovenija,Directed,882,,,1,Mentions
anjabahzibert,jjansasds,Directed,883,,,1,Mentions
petrasovdat,profaljosa,Directed,884,,,1,Mentions
che27che,spslovenije,Directed,885,,,1,Mentions
blogslovenija,bojanzadel,Directed,886,,,1,Mentions
blogslovenija,metkazevnik,Directed,887,,,1,Mentions
vesnam16,mojcaskrinjar,Directed,888,,,2,Mentions
vesnam16,rtv_slovenija,Directed,889,,,1,Mentions
vesnam16,jjansasds,Directed,890,,,2,Mentions
vesnam16,nova24tv,Directed,891,,,1,Mentions
vesnam16,strankasds,Directed,892,,,1,Mentions
mstrovs,nova24tv,Directed,893,,,1,Mentions
mstrovs,rtv_slovenija,Directed,894,,,1,Mentions
mstrovs,jjansasds,Directed,895,,,2,Mentions
muchka72,dete_epruvete,Directed,896,,,1,Mentions
tevilevi,gen_id_slo,Directed,897,,,1,Mentions
matejkmatej42,tevilevi,Directed,898,,,1,Mentions
tradicijaslo,mzzrs,Directed,899,,,1,Mentions
pavlinarosar,strankasds,Directed,900,,,1,Mentions
pavlinarosar,neurovirtu,Directed,901,,,1,Mentions
roma9na,demokracija1,Directed,902,,,1,Mentions
roma9na,jozebiscak,Directed,903,,,1,Mentions
roma9na,freewiseguy,Directed,904,,,1,Mentions
roma9na,mojcav1,Directed,905,,,1,Mentions
roma9na,mojcaskrinjar,Directed,906,,,1,Mentions
roma9na,robertsifrer,Directed,907,,,1,Mentions
roma9na,max970,Directed,908,,,2,Mentions
roma9na,slovenskavojska,Directed,909,,,1,Mentions
roma9na,jjansasds,Directed,910,,,2,Mentions
roma9na,rtv_slovenija,Directed,911,,,1,Mentions
roma9na,katoliskacerkev,Directed,912,,,1,Mentions
mojcav1,roma9na,Directed,913,,,1,Mentions
dlawdovsky,terrerosse21,Directed,914,,,1,Mentions
jasnamurgel,mirocerar,Directed,915,,,1,Mentions
jasnamurgel,vladars,Directed,916,,,1,Mentions
cirocara,jasnamurgel,Directed,917,,,1,Mentions
matejkmatej42,gen_id_slo,Directed,918,,,1,Mentions
cirocara,matejkmatej42,Directed,919,,,1,Mentions
cirocara,podimconference,Directed,920,,,1,Mentions
cirocara,mirocerar,Directed,921,,,2,Mentions
cirocara,delo,Directed,922,,,2,Mentions
cirocara,vladars,Directed,923,,,1,Mentions
cirocara,revijareporter,Directed,924,,,1,Mentions
cirocara,matejtonin,Directed,925,,,2,Mentions
cirocara,jjansasds,Directed,926,,,2,Mentions
cirocara,novaslovenija,Directed,927,,,2,Mentions
cirocara,rtvslo,Directed,928,,,1,Mentions
_wupe,mgruden,Directed,929,,,1,Mentions
tanasicmilos,dete_epruvete,Directed,930,,,1,Mentions
ivankakoprivc,freewiseguy,Directed,931,,,1,Mentions
ivankakoprivc,jjansasds,Directed,932,,,2,Mentions
ivankakoprivc,matjadraksler,Directed,933,,,1,Mentions
ivankakoprivc,rtv_slovenija,Directed,934,,,1,Mentions
ivankakoprivc,matevztomsic,Directed,935,,,1,Mentions
ivankakoprivc,tonekrkovic,Directed,936,,,1,Mentions
ivankakoprivc,boriscipot1,Directed,937,,,1,Mentions
alenkajerajsds,jjansasds,Directed,938,,,2,Mentions
alenkajerajsds,nova24tv,Directed,939,,,2,Mentions
alenkajerajsds,rtv_slovenija,Directed,940,,,1,Mentions
alenkajerajsds,mprevejsek,Directed,941,,,1,Mentions
andrejlac,strankasd,Directed,942,,,1,Mentions
andrejlac,jernejstromajer,Directed,943,,,1,Mentions
spagetyuse,max970,Directed,944,,,1,Mentions
spagetyuse,slovenskavojska,Directed,945,,,1,Mentions
spagetyuse,jjansasds,Directed,946,,,1,Mentions
spagetyuse,kovacrebeka,Directed,947,,,1,Mentions
spagetyuse,markosket,Directed,948,,,1,Mentions
spagetyuse,solidarnost_si,Directed,949,,,1,Mentions
spagetyuse,strankalevica,Directed,950,,,1,Mentions
spagetyuse,vinkovasle1,Directed,951,,,1,Mentions
spagetyuse,jaka__dolinar,Directed,952,,,1,Mentions
sfa_slovenija,fourthstate,Directed,953,,,1,Mentions
sfa_slovenija,generalfusion,Directed,954,,,1,Mentions
sfa_slovenija,to,Directed,955,,,1,Mentions
sfa_slovenija,apurschwitz,Directed,956,,,1,Mentions
sfa_slovenija,m_claessens,Directed,957,,,1,Mentions
sfa_slovenija,fusenleague,Directed,958,,,2,Mentions
sfa_slovenija,simic_group,Directed,959,,,1,Mentions
sfa_slovenija,iterorg,Directed,960,,,1,Mentions
sfa_slovenija,youtube,Directed,961,,,1,Mentions
vojinovic_,dumijana,Directed,962,,,1,Mentions
cincamarinca00,metkazevnik,Directed,963,,,1,Mentions
mervicvanda,nova24tv,Directed,964,,,2,Mentions
mervicvanda,rtv_slovenija,Directed,965,,,1,Mentions
mervicvanda,jjansasds,Directed,966,,,1,Mentions
mervicvanda,strankasd,Directed,967,,,1,Mentions
mervicvanda,jernejstromajer,Directed,968,,,1,Mentions
mervicvanda,rokjarc,Directed,969,,,1,Mentions
mareandi,mojcav1,Directed,970,,,1,Mentions
mareandi,nova24tv,Directed,971,,,1,Mentions
mareandi,max970,Directed,972,,,1,Mentions
mareandi,slovenskavojska,Directed,973,,,1,Mentions
mareandi,jjansasds,Directed,974,,,2,Mentions
mareandi,ipirkovic,Directed,975,,,1,Mentions
mareandi,vso_slovenija,Directed,976,,,1,Mentions
mareandi,tonekrkovic,Directed,977,,,1,Mentions
mareandi,boriscipot1,Directed,978,,,1,Mentions
mareandi,rtv_slovenija,Directed,979,,,1,Mentions
mareandi,mojcaskrinjar,Directed,980,,,1,Mentions
mareandi,jaka__dolinar,Directed,981,,,1,Mentions
magdamekina,si_supervizor,Directed,982,,,1,Mentions
magdamekina,lukamesec,Directed,983,,,1,Mentions
magdamekina,strankalevica,Directed,984,,,1,Mentions
magdamekina,mgruden,Directed,985,,,1,Mentions
john_the_tailor,dete_epruvete,Directed,986,,,1,Mentions
maskyca,dete_epruvete,Directed,987,,,1,Mentions
vtegov,demokracija1,Directed,988,,,1,Mentions
alojztetickovi3,max970,Directed,989,,,2,Mentions
alojztetickovi3,vinkovasle1,Directed,990,,,1,Mentions
alojztetickovi3,nova24tv,Directed,991,,,2,Mentions
alojztetickovi3,slovenskavojska,Directed,992,,,1,Mentions
alojztetickovi3,jjansasds,Directed,993,,,2,Mentions
alojztetickovi3,vo,Directed,994,,,1,Mentions
